Model,R2 Score,Cross-Val Mean R2
Random Forest (default),0.9107816984179493,0.9070253841676585
Random Forest (tuned),0.909614221719543,0.9037688651707843
XGBoost,0.8907575307775044,
LSTM,0.59,
